FECHA;ALMACEN;CLIENTE;TIPO DOCUMENTO;PRODUCTO;CANTIDAD;UNIDAD;TOTAL;MONTO PAGADO;DIFERENCIA;ESTADO DE ENTREGA;ESTADO DE PAGO;TIPO DE ENTREGA;METOPO DE PAGO
02/01/2025;CURVA;DECORMAX 992;FACTURA;FIRENSE;62;2;$2,295.00;$2,295.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;LUCERO GRIS;34;0;$1,248.50;$1,248.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;GENESIS NEGRO 120;10;0;$1,220.00;$1,220.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;NAZARENO 986;FACTURA;LUCERO GRIS;25;0;$925.20;$925.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;REAL CASA;FACTURA;GENESIS NEGRO 120;6;0;$732.00;$732.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ELIZABETH 1069;FACTURA;GENESIS NEGRO 120;5;1;$682.00;$682.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ROMERO;FACTURA;CARRARA BROWN;16;2;$617.76;$617.76;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;TEO 1105;FACTURA;GENESIS NEGRO 120;6;0;$501.10;$501.10;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;MAYRA ORTEGA 1055;FACTURA;KADUMA BEIGE;11;0;$451.44;$451.44;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;NAZARENO 986;FACTURA;GENESIS NEGRO 120;3;1;$434.00;$434.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;DECORMAX 992;FACTURA;SUPER NEGRO;10;0;$417.60;$417.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ROMERO;FACTURA;IMPERIAL GOLD;11;0;$411.84;$411.84;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;TEO 1105;FACTURA;DIAMANTE BOMBAY;11;0;$403.90;$404.90;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ADONAY;FACTURA;VENATO;11;0;$376.20;$376.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;RICHARD ASCIS 103;FACTURA;GENESIS NEGRO 120;4;0;$339.80;$339.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;EMIDSA 985;FACTURA;NEGRO VITRIFICADO 120;4;0;$288.00;$288.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;SANTA CAROLINA;ROMERO;FACTURA;ALVA GRIS;5;3;$268.80;$268.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KIMBERLY;FACTURA;MARMOL GRIS;7;7;$251.80;$251.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;ONIX BLACK;6;0;$220.30;$220.30;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;PAUL;FACTURA;PARQUET BEIGE;6;2;$201.40;$201.40;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ROSSY;FACTURA;SATVARIO GREY;6;2;$201.40;$201.40;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;TEO 1105;FACTURA;BOMBAY DIAMANTE;5;0;$187.20;$187.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;ALPINUS GREY;5;0;$183.60;$183.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;MACKENZY;FACTURA;ESPECIES;6;1;$183.20;$183.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;SANDRO;FACTURA;LADRILLO CALACATA;6;1;$183.15;$183.15;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;DECORMAX 992;FACTURA;SUPER NEGRO;4;0;$167.04;$167.04;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;GLADYS;FACTURA;FORESTA GRAFITO;4;0;$149.76;$149.76;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ROMERO;FACTURA;ACERADO OSCURO;4;8;$146.50;$147.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;KIARA;FACTURA;RUSTICO BEIGE;4;0;$141.12;$141.12;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;REAL CASA;FACTURA;GALAXI BLACK 120;3;2;$122.00;$122.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;KASA LINDA 952;FACTURA;CALACATA;4;0;$119.90;$119.90;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ADONAY;FACTURA;CALACATA;4;0;$119.88;$119.88;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;LARRY;FACTURA;LADRILLO BLANCO;4;0;$119.88;$119.88;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;WILLY;FACTURA;LARA MARFIL;3;6;$111.10;$112.10;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;JESUS;FACTURA;MATRIX GRIS;2;0;$105.84;$105.84;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;MATRIX GREY;2;0;$105.80;$105.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;SANTA CAROLINA;CASAMOVAL 976;FACTURA;EMA OSC;2;0;$97.20;$97.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;SANDRO;FACTURA;GENESIS NEGRO 120;1;0;$84.96;$84.96;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;SANTA CAROLINA;DAMARIS 979 - 2DO PISO;FACTURA;LUMINA CAMEL;2;4;$79.20;$79.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ROSSY;FACTURA;ORION NEGRO;2;0;$66.65;$66.65;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;HOJAS CALACATA;2;2;$66.60;$67.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;TEO 1105;FACTURA;FLOR CAFE;1;1;$46.80;$46.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;NAZARENO 115;FACTURA;CARRARA BROWN;1;0;$37.44;$37.44;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;SANDRO;FACTURA;BLANCO VITRIFICADO;1;0;$37.40;$37.40;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KRONOS HUARAZ;FACTURA;STELLAR;0;4;$34.56;$34.56;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KRONOS HUARAZ;FACTURA;STELLAR;0;4;$34.56;$34.56;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;NAZARENO 115;FACTURA;PARQUET BEIGE;1;0;$34.20;$34.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;SARA 923;FACTURA;ANDROMEDA 120;0;1;$32.40;$32.40;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;DISERGISA 901;FACTURA;MARMOL GRIS;1;0;$30.00;$30.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;MIGUEL;FACTURA;HUESO;1;0;$28.50;$28.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KRONOS HUARAZ;FACTURA;MATRIX AZUL;0;3;$25.92;$25.92;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KRONOS HUARAZ;FACTURA;MATRIX AZUL;0;3;$25.92;$25.92;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KRONOS HUARAZ;FACTURA;MATRIX DARK;0;3;$25.92;$25.92;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;KRONOS HUARAZ;FACTURA;MATRIX GRIS;0;3;$25.92;$25.92;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;MELISSA 923A;FACTURA;ELECTRIC BEIGE;0;2;$15.80;$15.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;NEYRA 105;FACTURA;NEGRO VITRIFICADO 120;0;1;$14.00;$14.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;NAZARENO 986;FACTURA;LUCERO GRIS;0;1;$9.36;$9.36;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;PREDISA 889;FACTURA;MATRIX GREY;0;1;$8.80;$8.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;HUANCAYO 1115;FACTURA;PETRA MIX;0;1;$8.80;$8.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;HUANCAYO 1115;FACTURA;CEMENTO GRIS;0;1;$8.80;$8.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;BRIGHIT TRUJILLO;FACTURA;MATRIX AZUL;7;0;$60.48;$60.48;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;SANCHEZ - CHIMBOTE;FACTURA;CARTVIN NATURAL;0;3;$158.70;$158.70;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;CURVA;LUPUCHE;FACTURA;WOOD NATURAL;20;0;$684.00;$684.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;MILLA;STA. CLORINDA 950;FACTURA;CHARLES SLATE;0;1;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;STA. CLORINDA 950;FACTURA;AQUAFINA GOLD 120;0;1;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
02/01/2025;SANTA CAROLINA;ALDO ASCIS 107;FACTURA;ELECTRIC BEIGE;2;0;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;CORPORACION BD&S;FACTURA;GENESIS NEGRO 120;2;1;$274.50;$274.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;DALILA 1019;FACTURA;CARRARA ATHENA;0;1;$9.18;$9.18;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;CORPORACION BD&S;FACTURA;GALAXI BLACK 120;0;1;$17.28;$17.28;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;CORPORACION BD&S;FACTURA;TIGIRLLO MARRON;3;3;$178.12;$178.12;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;ALONSO;FACTURA;GENESIS NEGRO 120;9;0;$1,098.00;$1,098.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;ALONSO;FACTURA;GENESIS NEGRO 120;10;0;$1,220.00;$1,220.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;CORPORACION BD&S;FACTURA;NAKIA PLATA;14;0;$504.00;$504.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;KEVELYN 931;FACTURA;HUESO;27;0;$769.50;$769.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;JAZMIN;FACTURA;PETRA MIX;0;1;$8.80;$8.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;SANTA CAROLINA;JAZMIN;FACTURA;PRISCO GREY;0;1;$9.20;$9.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;JAZMIN;FACTURA;RUSTICO GRIS;0;1;$8.82;$8.82;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;DECOR HOGAR - CHIMBOTE;FACTURA;FERRO BLACK;35;1;$1,346.55;$1,346.55;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;VIVIANA - CHIMBOTE;FACTURA;LARA GRAFITO;3;4;$93.80;$93.80;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;CASTEL;FACTURA;GENESIS MAREON 120;1;0;$83.52;$83.52;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;KRONOS HUARAZ;FACTURA;RUSTICO HUMO;2;0;$72.00;$72.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;RYB 109;FACTURA;ELECTRIC BEIGE;3;0;$94.80;$94.80;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;JERSON CASHPA;FACTURA;GENESIS BLANCO 120;3;0;$732.00;$732.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;INTERCERAMIC 1019;FACTURA;GENESIS NEGRO 120;4;0;$488.00;$488.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;MANUEL - CHIMBOTE;FACTURA;CAOBA CARAMEL;4;0;$259.20;$259.20;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;BARCELONA - ATE;FACTURA;GENESIS BLANCO 120;4;0;$976.00;$976.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;HALCOR;FACTURA;SUPER NEGRO;4;0;$167.04;$167.04;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;RUTH - ATE;FACTURA;GENESIS NEGRO 120;15;0;$1,830.00;$1,830.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;DECORFASA 857;FACTURA;GENESIS NEGRO 120;20;0;$2,440.00;$2,440.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;ROSSY;FACTURA;SATVARIO DARK;50;0;$1,836.00;$1,836.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;DALILA 1019;FACTURA;CARRARA ATHENA;37;0;$1,358.64;$1,358.64;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;HUGO 924;FACTURA;LUCERO GRIS;15;0;$561.60;$561.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;DALILA 1019;FACTURA;BUNTAS AZUL;10;0;$518.40;$518.40;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;ALESSIA 987;FACTURA;BRECIA NOGAL;14;2;$479.52;$479.52;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;REAL CASA;FACTURA;GENESIS NEGRO 120;5;2;$467.30;$467.30;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;OLCLASS 927;FACTURA;GRANITO GRAFITO 120;5;2;$451.44;$451.44;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;ADONAY;FACTURA;ALPHES GREY;12;0;$444.10;$444.10;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;REAL CASA;FACTURA;GENESIS BLANCO 120;0;7;$427.00;$427.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;GALERIA 931;FACTURA;ELECTRIC BEIGE;12;2;$396.00;$396.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;HUGO;FACTURA;VALENCIA;7;0;$370.44;$370.44;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;CERVA;FACTURA;LADRILLO CALACATA;10;0;$299.70;$299.70;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;DERALL 981;FACTURA;ESTORIL DARK;4;1;$216.00;$216.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;DISNOR 1083;FACTURA;SOFIA CORAL;6;3;$213.80;$213.80;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;CHINO - HUARAL;FACTURA;GLASS BLACK 120;2;0;$164.20;$164.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;ELIZABETH 1069;FACTURA;SUPER NEGRO;3;2;$146.20;$146.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;GALERIA 1069;FACTURA;SUPER NEGRO;3;0;$125.30;$125.30;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;REAL CASA;FACTURA;CALACATA VITRIFICADO;3;0;$113.30;$113.30;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;DISNOR 1083;FACTURA;GRANITO GRAFITO 120;1;0;$82.10;$82.10;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;ROMERO;FACTURA;EVO BLACK;2;0;$74.88;$74.88;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;SIN TIENDA;FACTURA;RUSTICO BEIGE;2;0;$72.00;$72.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;MARIANGEL 957 - 2DO PISO;FACTURA;ESTORIL DARK;1;2;$70.60;$70.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;MARIANGEL 957 - 2DO PISO;FACTURA;MATRIX GRIS;1;2;$70.60;$70.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;GLADYS;FACTURA;GENESIS BLANCO 120;0;1;$62.00;$62.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;REAL CASA;FACTURA;GENESIS BLANCO 120;0;1;$61.00;$61.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;DECORFAX;FACTURA;LADRILLO BLANCO;2;0;$59.94;$59.94;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;ROXANA 891;FACTURA;ALVA GRIS;1;0;$48.00;$49.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;SANTA CAROLINA;KIARA;FACTURA;ARTICO GRIS;1;0;$48.00;$48.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;MARIANGEL 957 - 2DO PISO;FACTURA;CEMENTO PLATA;1;1;$45.00;$45.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;HALCOR;FACTURA;CATALINA;0;6;$42.00;$42.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;SIN TIENDA;FACTURA;FERRO BLACK;1;0;$38.20;$38.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;ROXANA 891;FACTURA;WOOD NATURAL;1;0;$34.20;$34.20;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;ALESSIA 945B;FACTURA;MADERA WHITE;1;0;$31.70;$31.70;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;DISERGISA 901;FACTURA;BRECIA NOGAL;0;4;$26.60;$26.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;TEO 1105;FACTURA;NEGRO VITRIFICADO 120;0;1;$14.04;$14.04;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;DIONE;FACTURA;MADERA ROBLE;0;2;$14.00;$14.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;MARTHA MOPA - HUARAZ;FACTURA;DALIA CARAMELO;5;4;$204.90;$204.90;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;CERAMIC ROMA - SURQUILLO;FACTURA;CARTVIN NATURAL;1;0;$52.90;$52.90;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;RVA - CAJAMARCA;FACTURA;WOOD ARTICO;2;0;$34.67;$34.67;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;GLOBAL CERAMIC - HUARAZ;FACTURA;MATRIX AZUL;3;0;$25.92;$25.92;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;MILLA;CERAMIC ROMA - SURQUILLO;FACTURA;CARTVIN NATURAL;11;0;$581.90;$581.90;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
03/01/2025;CURVA;XAVIXA;FACTURA;GENESIS BLANCO 120;0;1;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;TOTAL ACABADOS 1019;FACTURA;FRIDZA 120;7;1;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
03/01/2025;CURVA;KYJ 887;FACTURA;GENESIS NEGRO 120;0;1;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
03/01/2025;MILLA;DALILA 1019;FACTURA;BUNTAS AZUL;0;1;$0.00;$0.00;$0.00;ANULADO;ANULADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;CORPORACION BD&S;FACTURA;GENESIS NEGRO 120;0;1;$30.50;$30.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;CORPORACION BD&S;FACTURA;LADRILLO BLANCO;0;1;$3.75;$3.75;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;CORPORACION BD&S;FACTURA;MATE MIX 66048;20;3;$732.06;$732.06;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;MILLA;CORPORACION BD&S;FACTURA;GENESIS NEGRO 120;0;4;$122.00;$122.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;CORPORACION BD&S;FACTURA;LADRILLO BLANCO;3;6;$112.39;$112.39;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;INTERCERAMIC 1019;FACTURA;GENESIS NEGRO 120;0;7;$213.50;$213.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;CORPORACION BD&S;FACTURA;GENESIS BLANCO 120;0;10;$610.00;$610.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
04/01/2025;CURVA;WILL CERAMIC;FACTURA;GENESIS NEGRO 120;3;0;$366.00;$366.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
